,source,target
1007,gallery,streetstorytelling
1008,colorfull,streetstorytelling
1009,challenge,streetstorytelling
1010,streetstorytelling,wabisabi
1011,street,streetstorytelling
1012,image,streetstorytelling
1013,images,streetstorytelling
1014,fineartphoto,streetstorytelling
1015,instagram,streetstorytelling
1016,instart,streetstorytelling
1017,picoftheday,streetstorytelling
1018,pictures,streetstorytelling
1019,spiritual,streetstorytelling
1020,artist,israel
1021,eyephotomagazine,israel
1022,israel,magazine
1023,gallery,israel
1024,colorfull,israel
1025,challenge,israel
1026,israel,wabisabi
1027,israel,street
1028,image,israel
1029,images,israel
1030,fineartphoto,israel
1031,instagram,israel
1032,instart,israel
1033,israel,picoftheday
1034,israel,pictures
1035,israel,spiritual
1036,artist,eyephotomagazine
1037,artist,magazine
1038,artist,gallery
1039,artist,colorfull
1040,artist,challenge
1041,artist,wabisabi
1042,artist,street
1043,artist,image
1044,artist,images
1045,artist,fineartphoto
1046,artist,instagram
1047,artist,instart
1048,artist,picoftheday
1049,artist,pictures
1050,artist,spiritual
1051,eyephotomagazine,magazine
1052,eyephotomagazine,gallery
1053,colorfull,eyephotomagazine
1054,challenge,eyephotomagazine
1055,eyephotomagazine,wabisabi
1056,eyephotomagazine,street
1057,eyephotomagazine,image
1058,eyephotomagazine,images
1059,eyephotomagazine,fineartphoto
1060,eyephotomagazine,instagram
1061,eyephotomagazine,instart
1062,eyephotomagazine,picoftheday
1063,eyephotomagazine,pictures
1064,eyephotomagazine,spiritual
1065,gallery,magazine
1066,colorfull,magazine
1067,challenge,magazine
1068,magazine,wabisabi
1069,magazine,street
1070,image,magazine
1071,images,magazine
1072,fineartphoto,magazine
1073,instagram,magazine
1074,instart,magazine
1075,magazine,picoftheday
1076,magazine,pictures
1077,magazine,spiritual
1078,colorfull,gallery
1079,challenge,gallery
1080,gallery,wabisabi
1081,gallery,street
1082,gallery,image
1083,gallery,images
1084,fineartphoto,gallery
1085,gallery,instagram
1086,gallery,instart
1087,gallery,picoftheday
1088,gallery,pictures
1089,gallery,spiritual
1090,challenge,colorfull
1091,colorfull,wabisabi
1092,colorfull,street
1093,colorfull,image
1094,colorfull,images
1095,colorfull,fineartphoto
1096,colorfull,instagram
1097,colorfull,instart
1098,colorfull,picoftheday
1099,colorfull,pictures
1100,colorfull,spiritual
1101,challenge,wabisabi
1102,challenge,street
1103,challenge,image
1104,challenge,images
1105,challenge,fineartphoto
1106,challenge,instagram
1107,challenge,instart
1108,challenge,picoftheday
1109,challenge,pictures
1110,challenge,spiritual
1111,street,wabisabi
