,weight,source,target
1013,1,artexhibition,abstraction
1014,1,artexhibition,abstractlandscape
1015,1,artexhibition,abstractoilpainting
1016,5,artexhibition,abstractpainting
1017,3,artexhibition,abudhabiart
1018,1,artexhibition,acrilicosobretela
1019,1,artexhibition,acrylic
1020,1,artexhibition,acrylicacrylicpainting
1021,3,artexhibition,acryliconcanvas
1022,3,artexhibition,acrylicpainter
1023,8,artexhibition,acrylicpainting
1024,1,artexhibition,adirondack
1025,1,artexhibition,adirondackart
1026,1,artexhibition,adirondackmountains
1027,1,artexhibition,akryl
1028,1,artexhibition,alminerech
1029,1,artexhibition,amiens
1030,1,artexhibition,amosrex
1031,1,artexhibition,anabehrensbruchou
1032,7,artexhibition,andorra
1033,1,artexhibition,anthonybrandt
1034,1,artexhibition,aofafrica
1035,3,artexhibition,arabart
1036,1,artexhibition,araki
1037,1,artexhibition,architecture
1038,1,artexhibition,arman
1039,68,artexhibition,art
1040,1,artexhibition,artanddesign
1041,1,artexhibition,artassociation
1042,1,artexhibition,artauctions
1043,1,artexhibition,artbase
1044,3,artexhibition,artbasel
1045,1,artexhibition,artbasel2020
1046,1,artexhibition,artbaselhk
1047,1,artexhibition,artbaselhongkong
1048,1,artexhibition,artbaselweek
1049,1,artexhibition,artberlin
1050,8,artexhibition,artblog
1051,1,artexhibition,artblogger
1052,3,artexhibition,artbrut
1053,1,artexhibition,artbuyernyc
1054,1,artexhibition,artbuyers
1055,1,artexhibition,artbycarolinerere
1056,1,artexhibition,artcall
1057,3,artexhibition,artcollection
1058,5,artexhibition,artcollective
1059,9,artexhibition,artcollector
1060,5,artexhibition,artcollectors
1061,1,artexhibition,artcollectorsartcurator
1062,1,artexhibition,artcollectorsoftheworld
1063,1,artexhibition,artcollectorsoninstagram
1064,1,artexhibition,artcollectorx
1065,1,artexhibition,artcommission
1066,2,artexhibition,artcommunity
1067,1,artexhibition,artcompetition
1068,1,artexhibition,artconsultant
1069,1,artexhibition,artconsulting
1070,6,artexhibition,artcontemporain
1071,1,artexhibition,artcontext
1072,6,artexhibition,artcurator
1073,1,artexhibition,artcurators
1074,4,artexhibition,artdaily
1075,3,artexhibition,artdealer
1076,1,artexhibition,artdeco
1077,11,artexhibition,arte
1078,1,artexhibition,arteabstracto
1079,4,artexhibition,artecontemporanea
1080,1,artexhibition,artecontemporaneo
